Product_ID,Product_Name,Date,Total_Returns,Total_Exchanges,Month,Year,Day_of_Week,Lag_Total_Returns,Lag_Total_Exchanges,Rolling_Returns,Rolling_Exchanges,Quarter,Is_Weekend,Season,Is_Holiday
0ekg6b0d,Product_3,2024-01-05,0.8421052631578948,0.2,1,2024,4,0.8421052631578947,0.19999999999999996,0.7368421052631577,0.10000000000000003,2024Q1,False,Winter,False
0ekg6b0d,Product_3,2024-01-17,0.6315789473684211,0.0,1,2024,2,0.8421052631578947,0.19999999999999996,0.7368421052631577,0.10000000000000003,2024Q1,False,Winter,False
0ekg6b0d,Product_3,2024-02-09,0.4210526315789474,0.6,2,2024,4,0.631578947368421,0.0,0.5263157894736841,0.30000000000000004,2024Q1,False,Winter,False
0ekg6b0d,Product_3,2024-03-14,1.0,0.0,3,2024,3,0.42105263157894735,0.6,0.7105263157894736,0.30000000000000004,2024Q1,False,Spring,False
0ekg6b0d,Product_3,2024-04-06,0.15789473684210525,0.8,4,2024,5,1.0,0.0,0.5789473684210525,0.4,2024Q2,True,Spring,False
0ekg6b0d,Product_3,2024-05-06,0.4736842105263158,0.7,5,2024,0,0.15789473684210525,0.7999999999999998,0.31578947368421045,0.75,2024Q2,False,Spring,False
0ekg6b0d,Product_3,2024-05-23,0.10526315789473689,0.8,5,2024,3,0.47368421052631576,0.7,0.2894736842105262,0.75,2024Q2,False,Spring,False
0ekg6b0d,Product_3,2024-05-30,0.5263157894736843,0.8,5,2024,3,0.10526315789473678,0.7999999999999998,0.31578947368421045,0.8,2024Q2,False,Spring,False
0ekg6b0d,Product_3,2024-06-02,0.368421052631579,0.8,6,2024,6,0.5263157894736842,0.7999999999999998,0.44736842105263147,0.8,2024Q2,True,Summer,False
0ekg6b0d,Product_3,2024-06-04,0.7894736842105263,0.8999999999999999,6,2024,1,0.3684210526315789,0.7999999999999998,0.5789473684210525,0.85,2024Q2,False,Summer,False
0ksz49ya,Product_59,2024-01-02,0.7894736842105263,0.8,1,2024,1,0.7894736842105263,0.7999999999999998,0.6315789473684209,0.7,2024Q1,False,Winter,False
0ksz49ya,Product_59,2024-01-09,0.4736842105263158,0.6,1,2024,1,0.7894736842105263,0.7999999999999998,0.6315789473684209,0.7,2024Q1,False,Winter,False
0ksz49ya,Product_59,2024-01-14,0.6842105263157896,0.8,1,2024,6,0.47368421052631576,0.6,0.5789473684210525,0.7,2024Q1,True,Winter,False
0ksz49ya,Product_59,2024-04-02,0.0,0.10000000000000003,4,2024,1,0.6842105263157895,0.7999999999999998,0.3421052631578947,0.45,2024Q2,False,Spring,False
0ksz49ya,Product_59,2024-04-11,0.7894736842105263,0.6,4,2024,3,0.0,0.10000000000000003,0.39473684210526305,0.35,2024Q2,False,Spring,False
0ksz49ya,Product_59,2024-04-11,0.26315789473684215,0.5,4,2024,3,0.7894736842105263,0.6,0.5263157894736841,0.55,2024Q2,False,Spring,False
0ksz49ya,Product_59,2024-06-12,0.8421052631578948,0.2,6,2024,2,0.2631578947368421,0.49999999999999994,0.5526315789473684,0.35,2024Q2,False,Summer,False
0ksz49ya,Product_59,2024-06-20,0.5789473684210527,0.8,6,2024,3,0.8421052631578947,0.19999999999999996,0.7105263157894736,0.5,2024Q2,False,Summer,False
0ksz49ya,Product_59,2024-06-23,0.15789473684210525,0.8999999999999999,6,2024,6,0.5789473684210527,0.7999999999999998,0.36842105263157887,0.85,2024Q2,True,Summer,False
0ksz49ya,Product_59,2024-06-29,0.8421052631578948,1.0,6,2024,5,0.15789473684210525,0.8999999999999999,0.4999999999999999,0.95,2024Q2,True,Summer,False
0n30loyg,Product_37,2024-01-06,0.368421052631579,0.7,1,2024,5,0.3684210526315789,0.7,0.31578947368421045,0.7,2024Q1,True,Winter,False
